uni,985,211
清华大学,Y,Y
北京大学,Y,Y
复旦大学,Y,Y
上海交通大学,Y,Y
中国科学技术大学,Y,Y
中国人民大学,Y,Y
北京航空航天大学,Y,Y
南京大学,Y,Y
同济大学,Y,Y
浙江大学,Y,Y
南开大学,Y,Y
北京师范大学,Y,Y
武汉大学,Y,Y
西安交通大学,Y,Y
华中科技大学,Y,Y
天津大学,Y,Y
中山大学,Y,Y
北京理工大学,Y,Y
东南大学,Y,Y
华东师范大学,Y,Y
哈尔滨工业大学,Y,Y
厦门大学,Y,Y
四川大学,Y,Y
西北工业大学,Y,Y
电子科技大学,Y,Y
华南理工大学,Y,Y
中南大学,Y,Y
大连理工大学,Y,Y
吉林大学,Y,Y
湖南大学,Y,Y
山东大学,Y,Y
重庆大学,Y,Y
中国农业大学,Y,Y
中国海洋大学,Y,Y
中央民族大学,Y,Y
东北大学,Y,Y
兰州大学,Y,Y
西北农林科技大学,Y,Y
国防科技大学,Y,Y
上海财经大学,N,Y
中央财经大学,N,Y
对外经济贸易大学,N,Y
北京外国语大学,N,Y
中国政法大学,N,Y
北京邮电大学,N,Y
上海外国语大学,N,Y
西南财经大学,N,Y
中国传媒大学,N,Y
中南财经政法大学,N,Y
南京航空航天大学,N,Y
北京科技大学,N,Y
北京交通大学,N,Y
华东理工大学,N,Y
西安电子科技大学,N,Y
天津医科大学,N,Y
南京理工大学,N,Y
华中师范大学,N,Y
哈尔滨工程大学,N,Y
华北电力大学,N,Y
北京中医药大学,N,Y
暨南大学,N,Y
苏州大学,N,Y
武汉理工大学,N,Y
中国药科大学,N,Y
东华大学,N,Y
河海大学,N,Y
北京林业大学,N,Y
河北工业大学,N,Y
北京工业大学,N,Y
江南大学,N,Y
北京化工大学,N,Y
西南交通大学,N,Y
上海大学,N,Y
南京师范大学,N,Y
中国地质大学（武汉）,N,Y
中国地质大学（北京）,N,Y
西北大学,N,Y
东北师范大学,N,Y
长安大学,N,Y
中国矿业大学（北京）,N,Y
华中农业大学,N,Y
合肥工业大学,N,Y
广西大学,N,Y
中国石油大学（华东）,N,Y
陕西师范大学,N,Y
南京农业大学,N,Y
湖南师范大学,N,Y
福州大学,N,Y
大连海事大学,N,Y
西南大学,N,Y
中国矿业大学,N,Y
云南大学,N,Y
太原理工大学,N,Y
华南师范大学,N,Y
北京体育大学,N,Y
中国石油大学（北京）,N,Y
安徽大学,N,Y
东北林业大学,N,Y
东北农业大学,N,Y
辽宁大学,N,Y
南昌大学,N,Y
延边大学,N,Y
内蒙古大学,N,Y
四川农业大学,N,Y
海南大学,N,Y
贵州大学,N,Y
郑州大学,N,Y
新疆大学,N,Y
宁夏大学,N,Y
石河子大学,N,Y
青海大学,N,Y
中央音乐学院,N,Y
第二军医大学,N,Y
第四军医大学,N,Y
西藏大学,N,Y
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
