score,number_art,number_science
730,,1
722,,1
721,,2
720,,1
719,,3
718,,3
717,,1
716,,3
715,,3
714,,2
713,,5
712,,1
711,,5
710,,7
709,,2
708,,9
707,,9
706,,11
705,,11
704,,13
703,,11
702,,14
701,,18
700,,26
699,1,23
698,,29
697,,29
696,1,31
695,,36
694,1,21
693,,31
692,,41
691,,34
690,3,34
689,,53
688,2,49
687,,48
686,2,53
685,3,50
684,2,67
683,2,71
682,5,64
681,5,59
680,5,64
679,1,50
678,4,56
677,6,73
676,9,77
675,7,80
674,5,69
673,10,69
672,12,77
671,8,89
670,10,85
669,14,81
668,10,75
667,17,69
666,14,72
665,13,88
664,16,82
663,17,92
662,19,88
661,15,105
660,22,93
659,30,96
658,14,94
657,23,94
656,22,109
655,21,103
654,28,118
653,34,98
652,18,101
651,25,111
650,32,113
649,20,114
648,28,117
647,27,109
646,30,104
645,37,117
644,40,121
643,33,109
642,44,107
641,31,126
640,37,126
639,49,105
638,40,112
637,34,108
636,33,127
635,32,111
634,38,122
633,46,140
632,40,126
631,33,122
630,33,131
629,41,125
628,45,134
627,49,112
626,55,112
625,62,134
624,49,127
623,60,115
622,42,112
621,47,127
620,54,143
619,51,123
618,49,100
617,46,160
616,41,146
615,44,133
614,50,122
613,53,118
612,55,142
611,70,127
610,63,118
609,54,122
608,54,131
607,66,159
606,74,137
605,56,121
604,61,128
603,62,128
602,63,126
601,65,138
600,47,123
599,62,170
598,59,132
597,63,145
596,59,123
595,66,141
594,83,119
593,60,134
592,85,134
591,70,150
590,65,134
589,59,141
588,65,143
587,68,158
586,84,119
585,74,137
584,79,119
583,61,123
582,73,147
581,67,139
580,66,148
579,64,122
578,66,142
577,69,133
576,69,133
575,74,129
574,69,134
573,79,144
572,75,135
571,69,153
570,75,145
569,80,172
568,83,156
567,77,149
566,65,137
565,63,133
564,64,135
563,76,141
562,75,143
561,88,139
560,86,145
559,91,152
558,65,144
557,73,151
556,83,147
555,70,174
554,82,137
553,88,165
552,82,154
551,77,134
550,81,152
549,74,149
548,68,129
547,68,142
546,70,157
545,82,157
544,88,143
543,69,155
542,80,119
541,81,152
540,71,154
539,78,167
538,75,168
537,74,146
536,62,128
535,71,149
534,78,149
533,78,151
532,73,160
531,84,170
530,86,137
529,78,144
528,78,159
527,63,158
526,78,154
525,78,153
524,78,144
523,72,136
522,59,147
521,80,158
520,75,148
519,86,147
518,67,157
517,78,127
516,66,159
515,72,137
514,85,155
513,68,148
512,62,158
511,69,148
510,75,139
509,62,154
508,54,167
507,83,157
506,66,162
505,94,138
504,75,157
503,51,155
502,71,132
501,72,164
500,62,177
499,72,138
498,62,154
497,69,136
496,70,142
495,79,138
494,51,132
493,64,147
492,62,152
491,57,134
490,65,131
489,61,144
488,51,137
487,64,133
486,64,131
485,58,116
484,53,125
483,64,119
482,53,133
481,53,120
480,47,141
479,48,138
478,55,116
477,56,126
476,47,125
475,51,129
474,56,136
473,54,107
472,79,124
471,52,134
470,52,140
469,60,105
468,64,111
467,49,120
466,42,111
465,61,117
464,54,106
463,50,108
462,51,137
461,46,101
460,52,98
459,48,93
458,36,98
457,46,99
456,44,97
455,48,96
454,52,95
453,51,120
452,37,93
451,46,100
450,36,94
440-449,409,931
430-439,395,826
420-429,340,713
410-419,322,681
400-409,277,520
390-399,261,509
380-389,218,460
370-379,202,361
360-369,161,305
350-359,158,274
340-349,145,234
330-339,133,180
320-329,154,173
310-319,119,162
300-309,87,119
290-299,90,118
280-289,62,114
270-279,64,116
260-269,62,101
250-259,37,71
240-249,41,88
230-239,28,40
220-229,23,32
210-219,26,30
200-209,19,27
190-199,8,14
180-189,10,11
170-179,6,12
160-169,12,8
150-159,9,2
140-149,6,2
130-139,4,5
120-129,5,4
110-119,4,3
100-109,4,2
90-99,5,4
80-89,5,5
70-79,2,1
60-69,2,1
50-59,4,4
40-49,1,1
30-39,3,2
20-29,3,2
0-9,597,582
