score,number
700,24
699,7
698,8
697,10
696,8
695,10
694,8
693,6
692,12
691,15
690,9
689,12
688,8
687,8
686,20
685,20
684,18
683,25
682,23
681,20
680,31
679,37
678,35
677,31
676,43
675,41
674,34
673,54
672,59
671,36
670,46
669,62
668,60
667,49
666,56
665,59
664,63
663,63
662,74
661,81
660,84
659,70
658,83
657,75
656,81
655,84
654,96
653,85
652,92
651,96
650,85
649,94
648,104
647,98
646,80
645,80
644,94
643,97
642,108
641,111
640,98
639,104
638,112
637,109
636,101
635,101
634,128
633,113
632,122
631,101
630,127
629,114
628,129
627,114
626,123
625,117
624,105
623,110
622,117
621,112
620,121
619,116
618,120
617,134
616,121
615,121
614,111
613,122
612,108
611,123
610,117
609,118
608,129
607,126
606,120
605,120
604,125
603,115
602,112
601,119
600,107
599,134
598,136
597,119
596,117
595,133
594,130
593,128
592,128
591,144
590,123
589,142
588,121
587,157
586,129
585,128
584,113
583,120
582,132
581,126
580,147
579,134
578,134
577,134
576,115
575,135
574,136
573,111
572,130
571,129
570,135
569,117
568,114
567,128
566,143
565,143
564,122
563,119
562,119
561,108
560,128
559,123
558,136
557,136
556,134
555,116
554,128
553,132
552,132
551,129
550,119
549,130
548,126
547,122
546,136
545,114
544,116
543,115
542,118
541,118
540,102
539,118
538,114
537,127
536,117
535,140
534,136
533,127
532,113
531,149
530,125
529,127
528,134
527,130
526,124
525,112
524,121
523,136
522,110
521,116
520,134
519,127
518,108
517,119
516,126
515,103
514,137
513,124
512,146
511,120
510,126
509,105
508,111
507,113
506,108
505,113
504,115
503,133
502,131
501,119
500,125
499,123
498,110
497,111
496,118
495,108
494,143
493,131
492,121
491,113
490,114
489,111
488,127
487,133
486,114
485,123
484,121
483,114
482,107
481,115
480,115
479,132
478,121
477,107
476,115
475,115
474,111
473,107
472,119
471,120
470,97
469,108
468,136
467,108
466,95
465,99
464,88
463,116
462,120
461,96
460,86
459,104
458,95
457,100
456,100
455,109
454,98
453,106
452,103
451,113
450,98
449,98
448,96
447,100
446,89
445,89
444,90
443,91
442,87
441,93
440,73
439,118
438,100
437,88
436,88
435,89
434,101
433,91
432,102
431,84
430,89
429,77
428,84
427,80
426,86
425,93
424,81
423,83
422,76
421,74
420,77
410,729
400,608
390,560
380,479
370,438
360,403
350,316
340,286
330,246
320,185
310,165
300,161
290,102
280,90
270,65
260,54
250,47
240,19
230,23
220,19
210,11
200,15
190,4
180,11
170,7
160,3
150,3
140,1
130,2
120,2
110,5
100,2
90,
80,1
70,1
60,1
50,3
40,3
30,71
20,230
10,46
0,281
