score,number_science,number_art
695,1,
694,2,
693,1,
692,2,
691,3,
690,3,
689,4,
688,1,
687,6,
686,7,
685,6,
684,10,
683,7,
682,7,
681,9,
680,14,
679,11,
678,14,
677,11,
676,9,
675,16,
674,10,
673,23,
672,8,
671,12,
670,24,
669,27,
668,26,
667,28,
666,18,
665,32,
664,18,
663,39,
662,29,
661,39,
660,35,1
659,48,
658,33,
657,38,4
656,40,
655,42,2
654,37,7
653,55,2
652,57,6
651,43,4
650,53,3
649,63,9
648,58,4
647,60,6
646,57,5
645,62,4
644,73,9
643,84,9
642,66,12
641,80,5
640,74,8
639,78,7
638,90,17
637,85,10
636,92,15
635,81,14
634,82,11
633,91,21
632,95,17
631,96,16
630,114,18
629,110,24
628,125,26
627,117,25
626,91,17
625,98,19
624,123,28
623,112,28
622,139,19
621,116,21
620,125,31
619,116,30
618,139,42
617,155,37
616,144,46
615,152,31
614,167,31
613,132,53
612,169,45
611,147,44
610,157,44
609,151,48
608,171,33
607,160,58
606,175,60
605,161,52
604,198,58
603,198,57
602,205,70
601,213,56
600,201,54
599,182,52
598,180,73
597,198,71
596,192,80
595,188,74
594,191,78
593,208,93
592,200,80
591,211,82
590,212,79
589,201,77
588,243,78
587,227,77
586,242,77
585,229,95
584,260,81
583,233,98
582,252,108
581,242,102
580,240,117
579,269,115
578,255,98
577,280,102
576,233,104
575,267,140
574,262,118
573,248,136
572,320,135
571,290,144
570,277,116
569,286,138
568,294,123
567,272,111
566,305,141
565,296,127
564,296,133
563,280,138
562,284,146
561,308,147
560,292,161
559,322,146
558,344,149
557,329,155
556,319,160
555,339,172
554,329,173
553,306,160
552,329,153
551,353,199
550,345,173
549,353,182
548,348,197
547,363,187
546,344,194
545,325,162
544,338,194
543,341,219
542,346,198
541,337,205
540,424,203
539,351,203
538,380,215
537,388,220
536,396,175
535,368,180
534,364,214
533,377,227
532,344,220
531,373,182
530,398,187
529,396,192
528,379,183
527,383,211
526,378,196
525,367,211
524,408,213
523,371,208
522,438,192
521,392,220
520,430,218
519,409,222
518,376,213
517,411,195
516,356,235
515,430,256
514,454,216
513,415,237
512,385,202
511,432,252
510,383,241
509,424,240
508,423,230
507,421,223
506,450,235
505,410,231
504,433,258
503,414,229
502,389,241
501,430,234
500,437,229
499,406,271
498,419,249
497,443,244
496,445,233
495,448,275
494,462,262
493,430,238
492,404,229
491,398,273
490,405,246
489,430,287
488,421,262
487,420,289
486,420,311
485,410,263
484,438,278
483,432,240
482,438,293
481,410,267
480,448,250
479,470,281
478,438,283
477,417,259
476,440,263
475,445,257
474,494,277
473,441,273
472,444,298
471,454,278
470,432,289
469,488,306
468,403,303
467,473,290
466,452,281
465,458,294
464,466,300
463,449,275
462,441,294
461,480,316
460,467,291
459,464,294
458,483,306
457,447,308
456,488,304
455,442,328
454,463,291
453,446,332
452,453,326
451,435,318
450,443,302
449,443,299
448,473,313
447,457,301
446,472,277
445,479,320
444,501,326
443,479,320
442,454,320
441,483,346
440,492,311
439,453,296
438,511,349
437,503,345
436,475,308
435,512,342
434,515,335
433,505,332
432,503,325
431,448,362
430,512,353
429,482,361
428,486,342
427,506,335
426,538,337
425,526,351
424,540,355
423,511,333
422,527,357
421,523,366
420,515,350
419,474,378
418,500,364
417,474,345
416,495,385
415,559,350
414,546,385
413,471,384
412,518,393
411,517,379
410,478,376
409,527,348
408,558,352
407,524,386
406,527,378
405,528,412
404,498,392
403,489,401
402,556,399
401,535,398
400,522,382
399,529,376
398,525,385
397,592,395
396,526,392
395,532,426
394,486,394
393,528,423
392,540,430
391,516,418
390,497,373
389,536,411
388,496,368
387,547,382
386,548,434
385,540,389
384,499,405
383,554,379
382,550,405
381,576,411
380,552,410
379,549,416
378,537,380
377,547,418
376,557,418
375,568,376
374,542,407
373,547,424
372,531,442
371,553,404
370,556,405
369,540,425
368,530,439
367,486,405
366,531,412
365,550,414
364,537,417
363,538,421
362,547,439
361,512,437
360,548,403
359,551,416
358,546,445
357,556,415
356,565,457
355,543,406
354,517,412
353,564,422
352,575,452
351,523,415
350,539,462
349,525,410
348,533,415
347,527,440
346,525,382
345,550,409
344,524,398
343,504,461
342,564,455
341,507,395
340,525,420
339,501,423
338,494,417
337,515,442
336,565,410
335,503,407
334,523,444
333,513,415
332,535,436
331,531,431
330,548,453
329,508,412
328,532,412
327,523,423
326,537,403
325,520,391
324,516,371
323,515,414
322,550,362
321,527,413
320,519,382
319,479,373
318,531,393
317,552,376
316,522,394
315,453,411
314,507,395
313,498,389
312,478,362
311,500,377
310,509,343
309,487,373
308,439,371
307,476,377
306,477,364
305,470,380
304,475,353
303,469,350
302,465,340
301,460,346
300,502,344
299,466,292
298,455,322
297,492,358
296,463,315
295,490,324
294,446,297
293,446,319
292,453,322
291,459,319
290,438,270
289,421,300
288,395,304
287,447,316
286,450,283
285,399,330
284,439,288
283,449,315
282,414,276
281,434,288
280,414,242
279,463,277
278,424,249
277,465,259
276,408,274
275,397,257
274,392,248
273,392,260
272,404,214
271,439,222
270,401,238
269,425,248
268,377,190
267,379,218
266,355,222
265,394,219
264,356,201
263,372,217
262,365,208
261,378,214
260,369,214
259,346,201
258,362,179
257,356,167
256,355,191
255,365,167
254,345,183
253,387,171
252,341,165
251,337,151
250,359,149
249,341,149
248,344,150
247,326,165
246,325,167
245,310,145
244,351,148
243,332,141
242,291,124
241,322,135
240,309,121
239,279,139
238,310,139
237,295,126
236,257,128
235,275,116
234,280,124
233,282,112
232,309,121
231,296,103
230,275,105
229,262,105
228,255,111
227,275,78
226,264,105
225,266,108
224,270,74
223,251,76
222,208,70
221,232,81
220,234,90
219,217,84
218,220,66
217,251,78
216,223,82
215,234,66
214,210,50
213,212,66
