score,number_science,number_art
690,20,
689,6,
688,6,
687,5,
686,5,
685,5,
684,6,
683,7,
682,6,
681,7,
680,11,
679,16,
678,19,
677,22,
676,17,
675,18,
674,13,
673,22,
672,21,
671,29,
670,18,
669,21,
668,35,
667,31,
666,28,
665,31,
664,36,
663,43,
662,29,
661,46,
660,43,
659,38,
658,47,20
657,57,0
656,51,1
655,50,4
654,52,5
653,48,7
652,69,3
651,65,3
650,63,10
649,68,5
648,65,7
647,62,8
646,64,13
645,87,12
644,73,13
643,71,12
642,93,13
641,84,19
640,89,14
639,104,15
638,87,19
637,85,25
636,105,18
635,116,24
634,104,21
633,139,28
632,107,30
631,105,40
630,122,35
629,130,29
628,141,41
627,130,36
626,142,35
625,145,48
624,144,45
623,145,52
622,164,36
621,159,58
620,162,54
619,144,69
618,200,58
617,175,81
616,216,79
615,209,63
614,187,91
613,195,65
612,187,97
611,221,93
610,213,89
609,230,97
608,232,87
607,216,114
606,233,101
605,251,127
604,261,116
603,263,139
602,261,142
601,293,136
600,241,136
599,287,162
598,282,134
597,302,160
596,299,145
595,281,175
594,323,182
593,280,182
592,340,167
591,353,186
590,328,178
589,337,183
588,354,198
587,330,198
586,384,224
585,354,216
584,380,229
583,396,232
582,373,269
581,399,261
580,411,257
579,434,246
578,415,251
577,433,265
576,436,255
575,421,297
574,459,313
573,448,307
572,442,318
571,454,314
570,456,325
569,492,355
568,479,309
567,500,318
566,477,356
565,514,416
564,523,356
563,520,347
562,498,370
561,527,399
560,540,392
559,582,405
558,558,426
557,567,403
556,603,402
555,577,412
554,572,467
553,571,436
552,600,468
551,594,447
550,663,424
549,613,465
548,641,501
547,646,491
546,675,485
545,640,514
544,706,502
543,646,533
542,661,552
541,680,515
540,704,541
539,661,552
538,715,537
537,737,551
536,692,567
535,735,630
534,700,602
533,744,600
532,768,568
531,722,591
530,713,566
529,764,620
528,732,600
527,745,652
526,727,647
525,793,618
524,770,677
523,764,632
522,845,625
521,803,649
520,795,687
519,817,664
518,844,697
517,856,684
516,844,637
515,859,687
514,831,708
513,836,769
512,863,720
511,871,717
510,867,762
509,866,761
508,833,722
507,875,736
506,948,738
505,953,737
504,901,741
503,951,726
502,953,815
501,929,683
500,901,763
499,920,793
498,922,787
497,928,802
496,960,812
495,969,741
494,957,790
493,918,791
492,941,785
491,995,870
490,964,827
489,976,896
488,935,875
487,1003,839
486,968,875
485,1002,870
484,956,855
483,1020,888
482,1026,836
481,1019,836
480,956,860
479,991,869
478,1039,869
477,1016,819
476,1080,913
475,1009,887
474,1065,857
473,1054,912
472,1020,944
471,1100,946
470,1035,924
469,1065,937
468,1020,934
467,1104,926
466,1066,983
465,1117,915
464,1080,914
463,1063,957
462,1060,922
461,1060,986
460,1113,970
459,1113,950
458,1081,910
457,1052,979
456,1074,1002
455,1062,1044
454,1036,1029
453,1103,990
452,1040,1008
451,1100,962
450,1005,1024
449,1158,987
448,1108,958
447,1136,990
446,1044,998
445,1147,991
444,1135,983
443,1139,995
442,1187,1005
441,1042,1041
440,1103,1027
439,1079,1000
438,1151,1040
437,1032,962
436,1125,986
435,1090,1007
434,1178,1015
433,1136,1058
432,1133,1065
431,1128,1077
430,1157,1039
429,1085,1049
428,1094,1018
427,1116,1063
426,1129,1042
425,1110,974
424,1176,1036
423,1101,986
422,1064,993
421,1131,1029
420,1165,1017
419,1159,1047
418,1129,1059
417,1104,1018
416,1131,1009
415,1100,1078
414,1100,1038
413,1135,1012
412,1165,1021
411,1078,1041
410,1131,1045
409,1068,1089
408,1108,1062
407,1105,1008
406,1185,1019
405,1092,1031
404,1149,995
403,1122,980
402,1158,978
401,1114,1068
400,1141,1012
399,1088,1028
398,1124,976
397,1107,1051
396,1103,1022
395,1129,991
394,1136,1000
393,1083,1061
392,1119,1013
391,1123,1096
390,1112,997
389,1157,1003
388,1124,1035
387,1141,1019
386,1065,1041
385,1060,988
384,1101,977
383,1103,1008
382,1109,1039
381,1059,953
380,1048,1031
379,1069,1043
378,1094,993
377,1028,1077
376,1064,957
375,1087,1045
374,1025,1008
373,1089,1030
372,975,1013
371,1004,1024
370,1035,1033
369,1054,1033
368,1077,999
367,989,986
366,980,963
365,989,1029
364,959,1009
363,998,1034
362,974,997
361,990,1038
360,1000,1060
359,990,1078
358,1008,981
357,1026,1004
356,1046,986
355,964,946
354,921,995
353,978,987
352,958,1019
351,918,1037
350,967,1024
349,936,992
348,1020,994
347,936,977
346,909,968
345,943,981
344,938,1019
343,910,1040
342,912,1013
341,865,994
340,852,996
339,929,1009
338,851,969
337,838,990
336,890,1004
335,892,977
334,862,926
333,862,1033
332,859,987
331,829,967
330,875,956
329,884,993
328,860,969
327,877,1027
326,855,958
325,806,976
324,859,991
323,848,952
322,788,947
321,820,954
320,841,1025
319,763,1016
318,790,917
317,836,937
316,809,932
315,777,962
314,774,958
313,812,940
312,751,940
311,719,914
310,770,893
309,744,940
308,760,917
307,671,931
306,748,933
305,736,987
304,724,902
303,714,875
302,690,935
301,712,934
300,731,922
299,693,946
298,662,941
297,739,878
296,688,877
295,695,919
294,647,878
293,627,935
292,677,861
291,663,855
290,638,836
289,681,866
288,654,828
287,613,836
286,664,882
285,615,815
284,612,861
283,627,827
282,602,878
281,569,851
280,580,830
279,631,823
278,589,791
277,535,834
276,619,844
275,569,824
274,600,786
273,513,794
272,575,828
271,592,735
270,564,778
269,551,822
268,538,794
267,622,749
266,549,697
265,583,791
264,498,753
263,509,772
262,511,724
261,550,741
260,520,725
259,502,711
258,551,730
257,515,763
256,486,686
255,492,696
254,511,672
253,457,664
252,451,692
251,506,677
250,501,680
249,445,666
248,491,702
247,479,678
246,478,643
245,457,680
244,445,619
243,450,644
242,444,617
241,467,684
240,447,598
239,428,591
238,465,593
237,454,575
236,456,625
235,416,587
234,453,573
233,384,565
232,405,575
231,402,556
230,392,591
229,418,540
228,403,546
227,418,545
226,378,534
225,380,536
224,395,492
223,408,526
222,372,505
221,361,522
220,350,518
219,306,496
218,364,515
217,348,496
216,380,466
215,384,465
214,357,489
213,351,481
212,366,452
211,336,491
210,359,454
209,336,442
208,347,419
207,324,427
206,333,394
205,336,445
204,311,420
203,333,381
202,322,405
201,315,408
200,305,385
199,309,338
198,320,359
197,286,368
196,291,364
195,284,366
194,321,347
193,285,376
192,271,372
191,281,360
190,265,298
189,254,322
188,235,331
187,246,293
186,269,315
185,253,320
184,244,342
183,241,289
182,254,316
181,225,282
180,214,273
179,219,286
178,222,284
177,204,249
176,231,240
175,217,294
174,204,247
173,215,240
172,184,258
171,192,242
170,166,224
169,175,203
168,200,212
167,181,210
166,166,218
165,187,206
164,158,220
163,182,193
162,164,187
161,179,208
160,133,194
159,158,190
158,151,164
157,140,178
156,159,178
155,154,186
154,144,185
153,147,190
152,151,179
151,154,172
150,124,151
