score,number_art,number_science
711,,20
710,,3
709,,7
708,,7
707,,8
706,,6
705,,6
704,,9
703,,19
702,,11
701,,11
700,,15
699,,25
698,,19
697,9,13
696,3,26
695,0,37
694,3,29
693,4,48
692,3,40
691,5,42
690,2,33
689,3,50
688,6,57
687,4,66
686,7,50
685,3,61
684,10,78
683,8,67
682,11,84
681,10,60
680,13,77
679,11,86
678,11,82
677,17,105
676,8,114
675,15,109
674,25,105
673,16,118
672,20,116
671,23,110
670,17,139
669,35,142
668,26,128
667,26,149
666,35,146
665,32,150
664,43,151
663,36,152
662,29,173
661,43,155
660,31,164
659,53,171
658,52,177
657,41,178
656,42,195
655,56,189
654,67,223
653,48,224
652,61,205
651,52,226
650,63,215
649,67,207
648,64,211
647,68,250
646,82,226
645,79,256
644,71,276
643,81,264
642,71,248
641,90,280
640,86,270
639,87,260
638,85,279
637,84,298
636,83,305
635,88,281
634,101,309
633,102,335
632,86,298
631,96,299
630,104,313
629,109,321
628,105,324
627,108,326
626,138,354
625,118,361
624,114,352
623,125,334
622,132,359
621,156,373
620,134,356
619,150,386
618,127,369
617,138,396
616,139,379
615,151,392
614,190,395
613,128,425
612,167,401
611,133,427
610,160,381
609,187,420
608,167,461
607,157,430
606,154,450
605,180,482
604,187,473
603,168,444
602,210,498
601,206,481
600,207,473
599,203,478
598,202,528
597,222,506
596,184,509
595,159,535
594,222,503
593,247,523
592,221,522
591,206,497
590,228,541
589,246,547
588,191,553
587,234,533
586,230,553
585,232,542
584,241,556
583,217,564
582,266,593
581,216,576
580,229,577
579,276,545
578,242,604
577,247,557
576,230,568
575,275,594
574,255,599
573,278,635
572,258,586
571,271,606
570,300,658
569,282,629
568,293,649
567,259,649
566,283,650
565,292,619
564,274,657
563,283,658
562,262,653
561,323,640
560,301,652
559,292,693
558,297,626
557,308,679
556,310,624
555,330,643
554,288,663
553,306,649
552,310,684
551,292,723
550,274,699
549,267,701
548,296,683
547,286,677
546,297,703
545,300,722
544,291,708
543,333,709
542,357,726
541,299,698
540,312,746
539,358,703
538,333,719
537,324,742
536,335,704
535,324,696
534,319,722
533,347,708
532,354,743
531,337,712
530,337,727
529,328,725
528,352,728
527,337,737
526,336,693
525,318,716
524,342,720
523,355,761
